title,denomination,year,action,reason
강덕섭,합동,2019/104,소속 교단에서 처리,기독교대한감리회 총회로돌려보내어 처리
강병국「생애의 빛」,고신,2009/59,이단성,"예정론과 구원론에 위배되는 사상,'원죄' 교리 부인"
고대원덕천교회(現 산성중앙교회 담임),통합,2015/100,추종 및 동조금지,"설교, 교회분리 등 물의로부산남노회의 청빙 불허됨,비건전한 목회윤리"
공용복밝은빛종말론,기성,1988/82,사이비성,시한부종말론
곽성률서울평강교회(구 장안교회),통합,2005/90,비성경적 이단사이비,모친을 재림주라 주장하고 우상화
관상기도 운동,합신,2011/96,참여금지,위험
구요한글로벌타임즈,고신,2018/68,참여금지,"성령론 해석 오류,교회 질서 깨뜨리는 행위"
구요한글로벌타임즈,백석대신,2018/103,참여금지,"신사도운동,비성경적인 성령사역 강조"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),기성,1985/79,이단사이비집단,"깨달음에 의한구원, 회개, 죄인문제"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),고신,1991/41,이단,"깨달음에 의한구원, 회개, 죄인문제"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),통합,1992/77,이단,"깨달음에 의한구원, 회개, 죄인문제"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),합동,2008/93,이단,"깨달음에 의한구원, 회개, 죄인문제"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),합신,1995/80,이단,"깨달음에 의한구원, 회개, 죄인문제"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),합신,2014/99,이단재확인구원파와 같은이단 교리,"서달석, 노영채, 오도경 부부, 손영수,구영석, 김동성 구원파와 같은 이단 교리"
구원파권신찬·유병언(기독교복음침례회)박옥수(기쁜소식선교회)이요한(대한예수교침례회),기감,2014/31,이단,
권신찬·유병언(기독교복음침례회),기하성,2014,이단,
극단적 신비주의,통합,2012/97,도입 및 참여 금지,미신적인 신비주의운동
김계화할렐루야 기도원,통합,1993/78,비성경 비기독교적,"성령수술, 생수병치료, 계시론"
김계화할렐루야 기도원,고신,1994/44,불건전 단체,"성수문제, 성령수술 부당성"
김계화할렐루야 기도원,합동,1996/81,이단성,
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,기침,1987/77,이단,"신론, 기독론, 계시론,창조론, 인간론, 사탄론"
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,고신,1991/41,이단,"신론, 기독론, 계시론,창조론, 인간론, 사탄론"
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,합동,1991/76,이단,"신론, 기독론, 계시론,창조론, 인간론, 사탄론"
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,통합,1992/77,이단,"신론, 기독론, 계시론,창조론, 인간론, 사탄론"
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,통합,1994/80,이단임을 재확인,교계언론의 이단시비 재연에 대한대책 촉구
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,기감,2014/31,예의주시,
김기동귀신론(베뢰아아카데미)세계베뢰아교회연맹,합신기성,,,
김대옥,합신,2019/104,참여교류금지,"동성애, 이슬람에 대한신학적 지향성 문제"
김대옥,합신,2022/107,참여교류금지 유지,"동성애와 퀴어신학, 이슬람,복음과 구원에 대한 잘못된 주장"
김성로춘천 한마음교회,합동,2017/102,참여금지,"십자가 부활 이원화, 십자가중심의 신앙을 폄훼하고 왜곡"
김성로춘천 한마음교회,합동,2019/104,참여금지 해제,집회와 매체를 통한공개적 회개를 수용
김성로춘천 한마음교회,합동,2022/107,참여금지 유지,이단성 변하지 않고 여전히 지속
김성로춘천 한마음교회,고신,2018/68,참여자제,"부활에 대한 지난친 강조,비성격적 오류"
김성로춘천 한마음교회,기침,2018/108,문제없음,성경과 신학의 해석 오류확인하고 수정 보완
김성로춘천 한마음교회,백석대신,2018/103,2년간 예의주시,"십자가 복음 폄하, 부활 후하늘 성소의 제사 문제"
김성수서머나교회,합신,2015/100,추종금지,강론을 읽거나 추종하는 일 금지
김양환덕정사랑교회,합신,2015/100,이단,
김요한,합동,2019/104,엄중 경고,
김요한,고신,2020/70,집회참여금지,
김용두주님의교회,대신,2009/44,집회참여금지,여러가지 신학적 문제
김용두주님의교회,합신,2009/94,이단,"우상화·신격화 위험성, 자의적 성경해석,신비주의적 체험 신봉, 영지주의적 신비사상,비성경적인 천국론과 지옥론,성령의 역사를 주술적으로 변질,직통계시, 김기동과 같은 귀신론"
김용의순회선교단복음학교,합신,2018/103,참여 및 교류금지,"음란죄 공개자백,교회에 복음이 없다고 비판,완전 성화 주장"
김용의순회선교단복음학교,합동,2020/105,참여금지,유사논리 구조와완전주의 경향 주의
김풍일(현 김노아)세광중앙교회,통합,2009/94,지켜보아야 함,"신격화, 보혜사 성령주장, 기독론"
